"Company
Location",Income group,Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ecuador,Upper middle income,Latin America & Caribbean,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11,1.08E+11
Mexico,Upper middle income,Latin America & Caribbean,9.75E+11,1.05E+12,1.11E+12,9.00E+11,1.06E+12,1.18E+12,1.20E+12,1.27E+12,1.31E+12,1.17E+12,1.08E+12,1.16E+12,1.22E+12
Switzerland,High income,Europe & Central Asia,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.70E+11,6.79E+11,7.06E+11
Switzerland,High income,Europe & Central Asia,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.70E+11,6.79E+11,7.06E+11
Switzerland,High income,Europe & Central Asia,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.70E+11,6.79E+11,7.06E+11
France,High income,Europe & Central Asia,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
France,High income,Europe & Central Asia,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
France,High income,Europe & Central Asia,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
France,High income,Europe & Central Asia,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
France,High income,Europe & Central Asia,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12
Netherlands,High income,Europe & Central Asia,7.33E+11,8.47E+11,9.48E+11,8.68E+11,8.47E+11,9.04E+11,8.39E+11,8.77E+11,8.91E+11,7.65E+11,7.84E+11,8.32E+11,9.14E+11
